NAME	TITLE	SCORE	
BBS2		3.6106737	
PLB1		3.610393	
FAH		3.6101358	
GPX2		3.6092331	
PLEKHG5		3.6090317	
TMBIM4		3.594396	
UPK3BL		3.5922077	
PYROXD2		3.5832376	
S100A2		3.575273	
SH2B1		3.5606115	
HOXA1		3.5593333	
NPHS2		3.5525267	
BDNF-AS		3.5477662	
LINC00265		3.5424223	
SWSAP1		3.5380077	
MRFAP1L1		3.5341496	
XAF1		3.5280473	
CPB2		3.5256197	
PAX8		3.5101788	
FOXH1		3.4902766	
TCN1		3.4842675	
CIRBP		3.4767609	
TBCK		3.4748821	
LZTS2		3.4734204	
COL22A1		3.4579685	
RAB21		3.4504547	
C16orf54		3.4426386	
BCKDHB		3.4275413	
DCAF5		3.4241228	
SLC15A1		3.4067175	
IFNE		3.404594	
ANKAR		3.4036992	
NDFIP1		3.401104	
CEP44		3.3941555	
RCOR3		3.3896039	
BAK1		3.3839877	
TFB1M		3.3820326	
HOXB7		3.3741057	
MAP3K5		3.3722155	
ROGDI		3.3622322	
ABCC3		3.3577287	
SLC22A5		3.354125	
LINC00930		3.353428	
TSPO		3.35293	
MCC		3.352704	
TMEM128		3.3258414	
IFI16		3.3256197	
SPATA20		3.3235724	
CDK18		3.3183923	
DISP1		3.316542	
GPRC5C		3.2986996	
GTF2IRD2P1		3.2950444	
ATP5I		3.2877378	
TM4SF4		3.2839355	
DNM1P35		3.2777073	
C4orf33		3.2756286	
DOPEY1		3.274585	
FBXL17		3.2745554	
TOLLIP		3.2733347	
C6orf223		3.2687945	
OBSCN		3.262768	
SDC1		3.2543259	
CAPS		3.24875	
BNIP3L		3.2305467	
GOLGA6L9		3.223769	
RSPH3		3.2223077	
EHD3		3.2170856	
SLC14A1		3.217008	
GSTZ1		3.2145345	
NACA		3.1934576	
C19orf71		3.1922858	
SRSF8		3.1834872	
AGAP11		3.1808512	
GOLGA8B		3.177241	
HOXA5		3.1772206	
RPL4		3.1747558	
LPA		3.1714308	
GSTO1		3.1681905	
CARF		3.162835	
P4HA1		3.1566262	
DNAJC4		3.155994	
UGT1A6		3.154814	
C1orf220		3.1390755	
ADGRF1		3.1376975	
CBLN2		3.1348796	
NDUFAF1		3.1286666	
FAM83A		3.126586	
CNTN3		3.1227264	
KCTD16		3.118926	
SRC		3.1152632	
SRSF5		3.1098566	
TCEAL1		3.1073759	
IL9R		3.1071298	
ZNF513		3.0997126	
FABP5		3.0960245	
METAP1		3.0944283	
TRIM2		3.092652	
SLC24A1		3.0878463	
LOC100133331		3.0861301	
ZNF558		3.0842178	
MUC2		3.0794258	
DNAJA4		3.060352	
FSTL4		3.0556617	
CCNT2		3.0544863	
SPZ1		3.0522027	
CYP4F11		3.0416658	
NSUN6		3.0413885	
AGR2		3.0386333	
COX7C		3.0365126	
TMEM117		3.0331306	
CPT1B		3.028641	
GSTA4		3.00857	
DUOX1		3.00616	
PPIP5K1		3.0044384	
CLHC1		3.0027452	
CATSPER1		2.997989	
PCP4L1		2.9911373	
GTF2IP1		2.9895205	
